"subj" "trial" "cond" "Initiation Time" "Mean Gaze" "Nr. Fixation" "Mean Saccade" "Entropy" "Latency Body" "First Fixation Body" "Total Fixation Body" "Mean Gaze Body" "Proportion Fixation Body" "Latency Object" "First Fixation Object" "Total Fixation Object" "Mean Gaze Object" "Proportion Fixation Object" "Latency Face" "First Fixation Face" "Total Fixation Face" "Mean Gaze Face" "Proportion Fixation Face" "Task" "Saliency" "Turbulence" "Complexity" "Clutter" "Feature Congestion" "Fixation Area"
5 4 3 430 259.6 5 231.944234268971 10.7995348804454 0 0 0 0 0 8 422 1072 268 0.826 652 226 226 226 0.174 "Search" 234.553032 2.72129542785223 0.432267387130984 "Clu" 3.139285 0.880840530543708
9 4 3 470 205.272727272727 11 255.43221984982 11.4269836830098 688 178 332 166 0.147 8 462 1598 228.286 0.708 516 138 328 164 0.145 "Search" 236.216879090909 6.25557643882251 0.518751220995162 "Clu" 3.139285 1.93784916719616
13 4 3 234 207.846153846154 13 199.122382091757 11.5771449389262 0 0 0 0 0 8 226 2120 212 0.785 536 238 582 194 0.215 "Search" 240.45133 8.13330138938738 0.545007871678131 "Clu" 3.139285 2.29018537941364
17 4 3 370 217.833333333333 24 293.978136274703 11.6746014425653 404 178 432 216 0.083 8 362 3864 214.667 0.739 720 178 932 233 0.178 "Search" 228.649190869565 14.5825221069416 0.602599581443337 "Clu" 3.139285 3.78637593441375
21 4 3 22 189.034482758621 29 201.726380287344 12.108562708756 440 150 394 131.333 0.072 8 14 4268 194 0.779 844 154 820 205 0.15 "Search" 236.946595714286 16.494990257463 0.594052330269509 "Clu" 3.139285 5.00926505370012
25 4 3 478 189.428571428571 14 209.948212618358 11.6161016496463 0 0 0 0 0 8 470 2130 193.636 0.803 508 186 522 174 0.197 "Search" 233.377706428571 7.35582354497961 0.498849266881256 "Clu" 3.139285 2.46635348552238
1 4 4 494 236.181818181818 22 189.745396279828 11.918361568337 4208 178 486 162 0.094 8 486 4710 247.895 0.906 0 0 0 0 0 "Search" 229.865877272727 9.15290132772488 0.390540919628722 "Clu" 3.139285 3.57642598589779
6 4 4 502 226.75 16 249.809230439141 11.9166815680185 544 218 938 187.6 0.259 8 494 2690 244.545 0.741 0 0 0 0 0 "Search" 227.436666875 10.2530628535471 0.604910458120652 "Clu" 3.139285 2.81868969773987
10 4 4 226 240.222222222222 9 192.327281199891 11.2385779228794 440 210 380 190 0.176 8 218 1782 254.571 0.824 0 0 0 0 0 "Search" 188.764594444444 4.82945594188108 0.447396361794023 "Clu" 3.139285 1.58551295497867
14 4 4 390 207 20 181.56435367627 11.6970166342443 1808 162 582 194 0.141 8 382 3380 211.25 0.816 424 178 178 178 0.043 "Search" 233.210128 9.78683115471221 0.444759627771792 "Clu" 3.139285 3.138459905744
18 4 4 362 230.380952380952 21 195.812981797504 11.5665088387593 1528 338 850 283.333 0.176 8 354 2942 196.133 0.608 392 174 1046 348.667 0.216 "Search" 223.252275238095 12.7231946495467 0.586101129457883 "Clu" 3.139285 2.58475381572132
22 4 4 146 153.428571428571 7 145.272298289729 10.954986994941 464 70 240 120 0.223 8 138 834 166.8 0.777 0 0 0 0 0 "Search" 171.742894571429 3.92714616700237 0.424037493370407 "Clu" 3.139285 1.15407269283032
1 5 1 454 230 7 285.839276321318 11.0550382564409 8 446 672 336 0.417 1592 74 312 156 0.194 508 170 626 208.667 0.389 "Search" 268.921597142857 3.69806788016834 0.439578445780717 "Min" 2.513436 1.1403458048962
6 5 1 462 272.4 10 257.165699144754 11.3182888781138 8 454 720 360 0.264 956 162 1494 298.8 0.548 500 110 510 170 0.187 "Search" 271.912619 6.20343479782407 0.560035212682861 "Min" 2.513436 1.5546951542963
10 5 1 446 237.2 5 276.193442647388 10.6590668921835 0 0 0 0 0 8 438 930 310 0.784 476 186 256 128 0.216 "Search" 235.013042 3.3322045101752 0.44417114186587 "Min" 2.513436 0.785589131844749
14 5 1 446 272.666666666667 6 376.09983597127 10.9244323183657 84 362 362 362 0.221 764 298 690 230 0.422 480 230 584 292 0.357 "Search" 276.072066666667 4.15888308335967 0.578869136866553 "Min" 2.513436 1.05700863665245
18 5 1 38 234.648648648649 37 250.919528601796 11.820656592093 480 250 5262 250.571 0.606 8 30 3420 213.75 0.394 0 0 0 0 0 "Search" 201.038980766667 15.931003745029 0.417245904511251 "Min" 2.513436 6.27750355035049
22 5 1 190 238.888888888889 9 174.868342909133 10.6940025046184 496 118 156 78 0.073 8 182 1204 301 0.56 640 218 790 263.333 0.367 "Search" 259.3024 4.97255678552175 0.484993726566531 "Min" 2.513436 1.1906165256687
2 5 2 206 206.444444444444 9 240.618096552314 11.2867655913818 8 198 832 208 0.448 232 190 706 235.333 0.38 464 178 320 160 0.172 "Search" 262.692051111111 6.20657592672493 0.594394545838484 "Min" 2.513436 1.47829157929963
3 5 2 202 206.8 25 229.645387893637 11.6330551294062 8 194 2658 204.462 0.514 496 214 2342 212.909 0.453 2188 170 170 170 0.033 "Search" 244.5356512 13.8778299994466 0.522603861913737 "Min" 2.513436 3.4981349660064
7 5 2 410 213.578947368421 19 278.270519628752 11.7370361887454 8 402 1634 181.556 0.403 1176 254 2130 236.667 0.525 3164 294 294 294 0.072 "Search" 230.011832631579 10.5092187646068 0.527545906070063 "Min" 2.513436 2.98427052537182
11 5 2 234 170.857142857143 14 205.937271462475 11.2897839749622 8 226 666 222 0.278 608 130 1596 159.6 0.667 420 130 130 130 0.054 "Search" 272.535073571429 7.19726177312063 0.438810682141733 "Min" 2.513436 2.15361054336164
15 5 2 62 167.111111111111 18 202.449323633509 11.7180370792434 8 54 1388 173.5 0.461 656 162 1498 166.444 0.498 468 122 122 122 0.041 "Search" 291.361306111111 12.1005787876493 0.632491441158709 "Min" 2.513436 3.01612252327115
19 5 2 422 212.857142857143 14 271.021812951436 11.5157334983914 8 414 1730 247.143 0.581 640 134 1120 186.667 0.376 452 130 130 130 0.044 "Search" 236.646005 8.26528234471171 0.568858897647831 "Min" 2.513436 2.35524099654506
23 5 2 534 236 8 224.344854261068 11.1826800274516 8 526 762 254 0.404 1004 262 924 231 0.489 748 202 202 202 0.107 "Search" 259.4230675 4.36432705757448 0.481126477822673 "Min" 2.513436 1.32150396048911
4 5 3 438 202.4 10 284.88684521199 11.1116973383604 0 0 0 0 0 8 430 1186 237.2 0.586 488 126 838 167.6 0.414 "Search" 281.148366 5.59809510820285 0.475913895494524 "Clu" 3.30489 1.43103136538316
8 5 3 402 220.8 10 250.884282848843 11.3986930782373 1440 146 392 196 0.178 8 394 1106 221.2 0.501 448 138 710 236.667 0.322 "Search" 260.752885 6.8627579130514 0.615443279590799 "Clu" 3.30489 1.62751540839732
