data,acc
e9_nox_raw,0.488997555
e9_nox_raw,0.479217604
e9_noy_raw,0.506927465
e9_noy_raw,0.520782396
e9_noy_raw,0.49796251
e9_noy_raw,0.508557457
e9_noy_raw,0.494702527
e9_noy_raw,0.513447433
e9_noy_raw,0.50611247
e9_noy_raw,0.525672372
e9_noy_raw,0.482477588
e9_noy_raw,0.516707417
e9_onlypup_raw,0.427057865
e9_onlypup_raw,0.446617767
e9_onlypup_raw,0.429502853
e9_onlypup_raw,0.422982885
e9_onlypup_raw,0.428687857
e9_onlypup_raw,0.418907906
e9_onlypup_raw,0.417277914
e9_onlypup_raw,0.429502852
e9_onlypup_raw,0.452322739
e9_onlypup_raw,0.438467808
e9_onlyx_raw,0.511002445
e9_onlyx_raw,0.4800326
e9_onlyx_raw,0.496332518
e9_onlyx_raw,0.47595762
e9_onlyx_raw,0.486552567
e9_onlyx_raw,0.461287694
e9_onlyx_raw,0.474327628
e9_onlyx_raw,0.479217604
e9_onlyx_raw,0.495517522
e9_onlyx_raw,0.503667482
e9_onlyy_raw,0.484922576
e9_onlyy_raw,0.481662592
e9_onlyy_raw,0.493072535
e9_onlyy_raw,0.467807661
e9_onlyy_raw,0.471067645
e9_onlyy_raw,0.479217604
e9_onlyy_raw,0.488182559
e9_onlyy_raw,0.493072535
e9_onlyy_raw,0.48410758
e9_onlyy_raw,0.493887531
