Sub	Image	Cond	Lat	Time	Dur	Amp	Amp1B	Amp2B	Vel	rAmp1B	rAmp2B	AbsDir180	RelDir1B180	RelDir2B180	AbsBin180	RelBin1B180	RelBin2B180
JIMP5.asc	frat-n	P	198.7692308	6104	39.38461538	9.386428229	14.60810431	15.31908526	324.1923077	-5.280192631	-6.246429746	119.928819	116.1761404	95.43292443	115	115	95
JIMP5.asc	fryd-z	P	203.047619	6120	37.33333333	9.546158131	15.40000629	16.77064603	344.5714286	-6.267963123	-8.210039191	110.518274	116.9470838	121.0167449	110	115	120
JIMP5.asc	gal2-z	P	221.1666667	6168	39.16666667	9.195177192	13.04659966	14.26534775	306.7083333	-4.117325374	-5.637910227	121.3276531	124.6944455	112.5009849	120	120	110
JIMP5.asc	gal-n	P	203.0769231	6124	38.76923077	9.618772254	14.07641361	16.20293387	342.3461538	-4.845575834	-7.52549174	103.2973136	102.7737826	117.709106	100	100	115
JIMP5.asc	gara-n	P	196.5217391	6468	36.86956522	8.835666162	16.30839502	15.99880399	328.6956522	-7.497466337	-7.566396934	94.02572859	118.8067727	98.00997349	90	115	95
JIMP5.asc	gas-z	P	258	6136	38.8	9.400114102	12.73895085	12.00661492	342.75	-3.413468038	-3.094154704	106.2840913	104.2001547	90.38056514	105	100	90
JIMP5.asc	hous-n	P	270.6	6156	36	7.737202851	11.98730644	13.41667013	279.85	-4.857625513	-6.487174031	124.0368923	123.7657602	109.8297943	120	120	105
JIMP5.asc	kit2-n	P	241.9047619	6028	32.95238095	7.986350898	11.25779702	13.28042305	292.8095238	-3.311495988	-5.925160886	115.3309112	90.37277657	90.18261528	115	90	90
JIMP5.asc	kit3-z	P	231.4285714	6044	35.04761905	8.295400738	13.57904879	14.23829639	271.6190476	-5.308646198	-6.566597045	118.2312693	130.4104169	114.3121268	115	130	110
JIMP5.asc	kit4-n	P	205.0769231	6020	34.15384615	7.530337274	10.36697364	11.7961575	308.1538462	-3.009512552	-4.843612131	123.6631878	106.0269058	106.9883804	120	105	105
JIMP5.asc	kit5-z	P	242.3636364	6072	35.45454545	8.14916771	11.93244654	13.91084127	312.1363636	-3.994457459	-6.273004628	112.0235352	114.0603648	104.6920806	110	110	100
JIMP5.asc	kit6-n	P	232.6956522	6088	34.08695652	7.237187586	10.33316306	11.62097123	267.3043478	-3.653641409	-5.692182899	125.1544054	108.2739025	117.2451572	125	105	115
JIMP5.asc	kit7-z	P	218.7826087	6068	32.86956522	6.732439356	10.11110986	11.56961086	284.826087	-3.489358272	-5.209010934	102.192458	106.0891512	66.13901305	100	105	65
JIMP5.asc	kit8-n	P	207.04	6184	39.2	10.02605517	14.69479507	15.7011596	318.64	-4.839399936	-6.227294318	108.1394332	123.468844	119.3050118	105	120	115
JIMP5.asc	kit-z	P	222.7272727	6144	31.45454545	6.370989994	11.64335685	13.67872902	259.5454545	-5.310782768	-8.039185734	108.5160875	121.8771037	111.3661645	105	120	110
JIMP5.asc	lab2-n	P	223.5	6476	35.5	8.873359121	13.73564381	15.55061425	305.0416667	-4.913576149	-7.053222526	97.14440112	102.9510885	103.8804328	95	100	100
JIMP5.asc	lab-z	P	224.5454545	6024	38.72727273	9.906117512	12.25797327	14.04572282	350	-2.410603193	-4.418697767	116.3813136	112.6484123	104.2691021	115	110	100
JIMP5.asc	laun-z	P	234.1818182	6200	37.63636364	9.917043789	13.75968311	14.29398539	348.9545455	-3.962757996	-5.026608251	100.2582385	102.8027647	89.10410563	100	100	85
JIMP5.asc	liv2-n	P	200.3076923	6356	33.53846154	9.899848281	19.54961513	22.02565141	267.1923077	-9.673814934	-12.31408204	121.4828625	129.1221987	120.5686922	120	125	120
JIMP5.asc	liv3-z	P	235.36	6396	34.88	6.988179052	11.30510242	13.55518275	290.72	-4.653609059	-7.196943304	91.99933721	124.5522456	97.27082697	90	120	95
JIMP5.asc	liv4-n	P	240.4	6060	36	9.756564581	14.50267568	16.21744642	307.65	-5.185517403	-7.947438625	128.9325064	120.3155043	114.0031873	125	120	110
JIMP5.asc	lof1-z	P	224	6108	33.56521739	7.799902203	10.30681252	12.22865257	311.0434783	-2.549335548	-4.919276743	114.9136475	117.1650841	108.2638253	110	115	105
JIMP5.asc	mari-n	P	216.5454545	6088	32	6.324516124	10.04424383	11.22400426	273.7272727	-4.278655975	-5.711856077	137.7152174	129.6640655	105.3797516	135	125	105
